system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:247  display_pixel_format             [   0.17719] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17720] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17722] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17724] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17725] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17727] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17728] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17730] Decoding visual no. 20...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17738] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17740] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17742] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17743] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17745] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17747] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17749] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17750] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17752] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17754] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17755] Decoding visual no. 21...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17764] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17766] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17768] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17770] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17771] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17773] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17775] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17776] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17778] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17780] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17781] Decoding visual no. 22...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17790] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17793] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17794] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17796] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17798] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17800] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17801] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17803] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17805] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17806] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17808] Decoding visual no. 23...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17816] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17818] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17820] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17822] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17823] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17825] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17827] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17828] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17830] Score is : 1878
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17832] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17833] Decoding visual no. 24...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17842] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17844] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17846] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17847] Swap method: flip
display  I           wgl_disp.c:250  display_pixel_format             [   0.17849] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17851] Depth buffer: 0 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17853] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17854] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17856] Score is : 1878
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17857] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17859] Decoding visual no. 25...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17871] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17874] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17876] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17879] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17880] Color format: r8 g8 b8 a0, 32 bit
